text,translation
а,к
а,в
а,от
а,для
а,это
aab,устье
abb,устье
aard,гора
aard,горный
aard,верхний
aard,высокий
aard,самый высокий
ard,гора
ard,горный
ard,верхний
ard,высокий
ard,самый высокий
aark,льдина
a'baeth,поцелуй
a'baeth,целовать
addan,танец
addan,танцор
addan,танцевать
adan,танец
adan,танцор
adan,танцевать
aé,я
aedd,осколок
aedd,кусок
aedd ginvael,осколок лед
aefder,после
aen'drean,вход
aen elle,народ ольха
aen saevherne,знающий
aen saevherne,ведуть
aen seidhe,народ гора
aen woedbeanna,девушка из лес
aen undod,единый народ
aenye,огонь
aenyeweddien,дитя огонь
aenyell'hael,крещение огонь
aesledde,кататься на сани
aespere,стрелять
aevon,река
aevon y pont ar gwennelen,река алебастровый мост
aep,с
aep,в
aep,потомок
aine,свет
an,но
an'givare,шпион
an'givare,информатор
an'givare,доносчик
a'taeghane,сегодня
ard,верховный
ard,великий
arse,осел
arse,задница
ayd,нет
aymm,имя
ban,пик
ban,вершина
ban,место
baeg,мало
beanna,женщина
beann'shie,беанн'нуть
blath,цветок
blathan,гирлянда
blathan,цветок
blathanna,цвет
blathan caerme,гирлянда судьба
bleidd,волк
bloed,кровь
bloede,кровавый
bloede,проклятый
bloede,чертов
breoga,лягушка
brokiloéne,из брокилона
brokiloéne,брокилонский
caed,лес
caed,роща
caed gwen,белый лес
caedmill,приветствие
cáelm,спокойный
cáelm,мирный
cáelm,тихий
cáelm,медленно
cáelm,спокойно
cáelm,успокаивать
cáelm,утихать
caem,поднять
cáemm,идти
cáemm,прибывать
caen,мочь
caen,уметь
caer,крепость
caer,замок
caer,главный башня
caer a'muirehen,каэр морхен
caer a'muirehen,крепость старое море
cáerme,судьба
cáerme,предназначение
carn,курган
carn,могильный холм
сarraigh,камень
сarraigh,скала
cead,привет
ceádmil,приветствие
ceann,голова
ceann,наконечник
ceann,конец
ceath,четыре
ceathdeane,четырнадцать
ceathrad,сорок
cerbin,ворон
cinerea,жряк
cirran,меч
col,перевал
conyn,стебель
craag,скала
craag,утес
creasa,место
creasa,зона
creasa,область
creasa,регион
crevan,лис
dana meabdh,королева
dana meabdh,дева поле
darganfod,открывать
darganfod,открытие
darganfod,открытый
darl'len,читать
deard ruadhri,красный всадник
dearg,красный
dearme,пожелание спокойный ночь
deich,десять
deich,десятка
deireádh,конец
deireádh,последний
deireádh,окончание
deith,пламя
deithwen,белый пламя
dh'oine,человек
dhu,черный
dice,говорить
dol,дол
dol,долина
dol blathanna,долина цвет
duen canell,место дуб
d'yaebl,дьявол
dy'olcaer,благодарить
easnadh,вздох
eate,лето
eigean,необходимый
eigean,должное
elaine,прекрасный
elaine,хороший
elle,ольха
en'ca digne,пойти далекий
en'leass,связанный
en'leass,зашнуровать
enid,маргаритка
ensh'eass,очаровательный
ensh'eass,зачаровать
ensh'eass,захватывать
ensh'eass,обаятельный
ess,быть
esse,быть
essea,я
esseath,ты
evall,лошадь
evellienn,все
evellienn,каждый
feainne,солнце
feainnewedd,дитя солнце
feainnewedd,феаинневедда
fem,пять
femdeane,пятнадцать
femrad,пятьдесят
fen,луг
fen,пастбище
foilé,неистовый
foilé,безумный
foilé,бешеный
folie,безумие
folie,бешенство
fuelk,раса
gar'ean,осторожно
gar'ean,внимание
gar'ean,беречься
geas,проклятие
geas,магический обязательство
geas,запрет
ghenain,гном
glaeddyv,меч
glean,низкий
glean,нижний
gleanna,долина
glosse,смотреть
glosse,наблюдать
glosse,глазеть
gvalch,сокол
gvalch'ca,соколица
gwen,белый
gwen,седой
gwyn,белый
gwyn,седой
gwenllech,река белый камень
gwynbleidd,белый волк
gynvael,лед
hael,приветствие по обращение к старший
hanse,ганза
hav'caaren,гавенкара
hav'caaren,снабженец
hen,старший
hen,старый
hen ichaer,старший кровь
hen llinge,старший речь
hen cerbin,старый ворон
hen gàidh,старый сад
hoel,задница
hvandre,сто
ichaer,кровь
imbaelk,праздник начало весна
imbaelk,прорастание
imbaelk,почкование
inis,остров
invaerne,зима
laeke,озеро
lara,чайка
lionors,львица
llamas,праздник жатва
llamas,созревание
loa'then,ненависть
loc'hlaith,владычица озеро
luned,дитя
luned,дочка
luned,девочка
me,я
me,мой
meśth,встречаться
midaete,день летний солнцестояние
midinvaerne,день зимний солнцестояние
mile,тысяча
milva,коршун
mirę,смотреть
mirę,наблюдать
mistle,свирель
minne,любовь
muire,море
modron,мать
morvudd,враг
naev'de,девять
naev'derad,девяносто
ne,нет
neen,нет
neen,ни
neen,без
neen,ничего
nord,север
nordling,нордлинга
nordling,житель север
pest,зараза
pest,мор
pest,чума
que,что
quirk,чирика-чирика
raenn,бег
raenn,бежать
rag nar roog,раг нары роог
rag nar roog,рагнаречь
rag nar roog,битва свет и тьма
rhena,королева
rhoin,обряд
seidh,холм
sh'aent,петь
sor'ca,сестренка
sledd,сани
spar,стрелять
straede,дорога
scoia'tael,скоя'таэль
scoia'tael,белок
squaess,извинение
taedh,бард
tearth,бояться
tearth,пугаться
tedd,день
tedd,час
tedd,пора
tedd deireadh,час конец
thaess aep,заткнуться
thaess,помолчать
tirth,кабан
tor,башня
torc'h,золотой альшбанда
tre,три
tredeane,тринадцать
trerad,тридцать
tuathe,шепот
tvedeane,дюжина
tvedeane,двенадцать
tverad,двадцать
twe,два
va,идти
va'en,поездка
va'en,путешествие
va'esse,что-то
va faill,до свидание
va faill,прощать
vara,товар
vairich,слышать
vatt'ghern,ведьмак
velen,осенний равноденствие
veloe,быстро
vessekheal,тост
vort,на себя
vort,бросить
vort,далекий
vort,долгий
vort,друг от друг
vort,от
vort,прочь
vort,еще
visse,посланник
wedd,дитя
weddin,ребенок
wen,белый
woed,лес
woedd,лесной
yea,да
yghern,сколопендроморф
yndeane,одиннадцать
ys,вниз
ys,от себя
zireael,ласточка
zvaere,ругаться
zvaere,присягать
a'baeth,поцеловать
addan,танцующий
aenye,пламя
aesledde,кататься на санки
aessea,я есть
arse,зад
a'rsa,древний
absten,изучать
absten,исследовать
abitant,кусать
ach,но
addan,плясать
aebeddreste,приказывать
aebere,открыть
aebere,открываться
aebesyrn,обманывать
aebesyrn,выманивать
aebrecad,атаковать
aedell,окружать
aedwiim,уходить
aedeil,сравнивать
aeiw's,хранить
aeiw's,охранять
aehon,ловить
aefre,календарь
aeksin,очищать
aekeen,препятствовать
ael'vit,связывать
aeldra,болезнь
aen'drean,являться
aen'kee,попадать
aener's,лечить
aercane,аркан
aere,уважать
aere,честь
aeskell,оставаться
aespar,стрелять
aestoll,связывать
aespeath,читать
aetess,отступать
aespel,рассказывать
aeved,понимать
aevell,трава
afeallan,погибший
afealle,гибнуть
afealle,падать
agerr,плакать
ah'abbaer,сдерживать
ah'abbaer,ограничивать
ah'teor,нарушение
ahierd,твердеть
ahorn,клен
ahte,владеть
aig,лицо
ailm,рябина
aimsir,вчера
ainm,имя
ainmhi,животное
airgead,деньга
airi,министр
airi,советник
al,из
algis,тростник
amadan,дурак
amrun,восток
anad'enel,полуэльф
anois,теперь
anseo,здесь
ansin,затем
ansin,тогда
ansiud,там
ansto,удобныый
ansto,приличествовать
ansus,ведать
anuas,сверху
aoibhinn,ров
aon,любой
ar,наш
ar'ais,назад
arainne,гора
aran,хлеб
ard,верх
ard,старший
arednes,условие
argen,серебро
ariht,должный образ
aris,снова
arming,бедняга
as,в
as,к
as'seo,отсюда
asail,осесть
aspendasse,тратить
aspendasse,расходовать
ass,благополучие
athair,отец
av'love,опадать
avsin'n,безумие
avsin'n,абсурд
beanna,девушка
ben,пик
ben,вершина
ben,гора
bean'shie,банша
bean'shie,эльфья упырица
bloede,кровавый чертовый
ba,тонуть
bacaih,нищий
baerfaal,опадение хвоя
bagair,угрожать
baid,лодка
baid,яблоко
baintreach,вдова
baiste,мастер
baitrs,горький
barr,ножны
barre,черта
bea,хрусталь
beadorince,хороший из воин
beadowanth,поле битва
beag,мало
beag,немного
beag'an,маленький
bealubenn,тяжелый рана
beam,луч
beann'chy,баньша
bearht,шум
bedaell,лишать
bedaell,отнимать
bedd,кровать
beddreste,приказ
befaestar,устанавливать
beheaill,заметить
beide,кольцо
bein,кость
beirt,двое
beith,береза
belg,кузнечный мех
belg,мех
belg,шкура
benn,рана
benn,ранение
benzen,предвещать
benzen,предчувствовать
benzen,проповедовать
ben,сhe скамья
berkana,исцеление
besyrn,обман
beth'et,браслет
bezar,искажать
bhear'sa,стихотворение
blaec,черный
blas,вкус
blathanna,цветочный
bleikr,бледный
bolle,кубок
bolle,чаша
botm,дно
brea,оружие
brecad,атака
breme,доблестный
breme,знаменитый
breost'net,кольчуга
brynie,лата
bur'geteld,палатка
bur'geteld,шатер
bysmer,унижение
bysmer,оскорбление
caelm,штиль
caelm,спокойствие
caelm,затишье спокойный
caer,город
caerme,доля
caerme,судьба
caerme,предназначение
cead,сто
cead,здравствуй
ceadmil,здравствуй
canell,дуб
caemm,идти
caemm,приходить
cad,где
caercern,тюрьма
candid,скрываться
caol,узкий
cared,воин
cathain,когда
cathu,искушение
ceadu,сотый
ceat,четверо
ceatedhu,сороковой
ceateir,четыре
ceateir deag,четырнадцать
ceateiredh,сорок
ceateiru,четвертый
celas,сколько
cennian,давать имя
cennian,порождать
ciall,разум
cierme,крик
cierme,восклицание
cirran,острие
cist,группа человек
cleart,знакомый
cliff,утес
cliff,отвесный обрыв
coll,орешник
coma'oin,ответный услуга
conas,как
coqueill,ракушка
coqueill,раковина
cradelle,колыбель
crann,дерево
cuedh,пятдесить
cuedhu,пятидесятый
cueg,пять
cueg deag,пятнадцать
cuegear,пятеро
cuegu,пятый
cves'se,птичий перо
cwellan,убитый
cwelle,убивать
dearme,спать добрый ночь
deireadh,конец
deith,огонь
d'yaebl,черта
duen,место
d'iol,продавать
d'taobn,относительно
da,бы
daed,дело
dair,яблоня
dana,дева
dara,второй
darienn,залог
de,два
de deag,двенадцать
de'rvi,день
deadh,двадцать
deadhu,двадцатый
dearbh,настоящий
dearme,спать
deas's,стол
deihin,притягивать
deichiu,десятый
deichnir,десятеро
deffer,приносить
deith,белый
den,самый
desse,взгляд
den'n,логовище
den'n,пещера
deu deag,двенадцатый
dhaar,ваш
dinel,север
diri,вино
dit'ef,дыхание
diu,долго
div,рассеивать
do,твой
doehast,неудовлетворенный
doin,двигаться
doin,движение
dome,вечер
dore,дверь
doue,одаренный
duell,плач
duen'snech,библиотека
duettaeann,двойной
duve,нырять
dwimme,сон
esse,мы есть
essea,это есть
esseath,ты есть
evall,конь
evelienn,всякий
evelienn,все
eigean,скоро
eaken,большой
eaken,огромный
ear,земля
ear,урожай
ear'modlice,с уважение
eare,ухо
earm,рука
earn,орел
edad,осина
edwid,упрек
efen,равно
efen,одинаково
efir,аура
efenea'ld,современный
ei,он
eie,картина
eigean,что-то
eilid,появляться
eire,воздух
eiw's,защита
elder,брат
ele,мозг
ellen,сирена
emer,боль
emnaepele,процветать
en'ca,немножко
eoh,конь
eolsdae,праздник
epaele,благородный
erga,плод
erga,потомство
estoll,связь
estoll,и
evall,ехать верхом
evall,конный
eveigh,бессмертный
fen,выгон
folie,глупость
fadhb,зима
faeder,берег
faer,корабль
fahs,волос
faill,прощать
faisean,мода
fandiss,искать
fane,знамя
fao,о
faoi,под
faru,поток стрела
fas's,родиться
fas's,семья
feabh'as,улучшение
fearg,гнев
fearid,холод
fearr,мрамор
feasta,будущее
fein,сам
feorh,душа
fern,ольха
ferre,заковывать
ferre,заключать в тюрьма
feu,имущество
filid,музыкант
filid,менестрель
finell,тело
fir,верный
firace,рыба
fiscere,рыбак
flaum'r,полет
fluiga,летать
foile,сумасшедший
fore,однажды
freagairt,отвечать
frecne,опасность
fuar,холодный
geas,клятва
geas,клясться
ginvael,лед
g'ers,голова
gabhar,кузнец
gaire,смех
gan,без
gann,скудный
gann,редкий
geall,обещание
gear,друг
geatwe,драгоценный камень
gebiam,засада
gebo,дар
geim,козел
gelo,желтый
germ,кладбище
gilen,ускорять
gi'beran,рождать
gi'beran,иметь ребенок
gitesael,радуга
glaes,стекло
gleann,долинный
gort,плющ
grael,свита
grian'n,стена
gualainn,плечо
gv'eard,сила
gvalch'ca,сокол
gwaim,народ
gwaim,раса
gwennelen,алебастр
hen,старый господин
ha,иметь
hacele,платье
haebbe,ненависть
hagal,град
haffian,внешность
haffian,облик
dyes,сова
hagal,разрушение
haird'eis,гавань
hanse,банда
haos,хаос
haste,копье
hav'caar,спекулянт
heabur,столица
heegen,пароль
henn,один
henn deag,одиннадцать
hennu,первый
hennu deag,одиннадцатый
herbist,осень
het'elice,весна
hilyp,пустота
hinc,поэтому
hinc,по этот причина
hirg'ir,пить
hoen,восемь
hoen deag,восемнадцать
hoenadt,восемдесить
holm,прошлое
hraefn,растение
hreaw,труп
hunger,голод
huvert,полный
i,она
i 'ndiaidn,после
iad,они
iarran,железо
ibsial,художник
idad,тис
idel,статуя
idir,между
iers,звезда
ige,телепорт
iilmi,предмет
illo,туда
ifit,знать
indis,закрывать
inne,внутри
inngi,подавать прошение
inngi,подать идея
innhav,озеро
innvie,освящать
innvie,посвящать
innvolle,внутренность
ino,ветвь
inwidd,завтра
irre,блуждать без цель
irre,заблуждаться
isa,замораживание
isern,прелюбодеяние
ite,еда
ithte,есть
ithte,питаться
iunni,можжевельник
iuwine,разлука
k'host,зеркало
kabbe,чурбан
kabbe,колода
kaie,галка
kano,факел
keilidh,структура
keren,изменяться
kers,корона
ki'rin,остановить
ki'rin,остановиться
le,он
lions,львица
luned,ребенок
letion,принимать
l'ndail,ветер
l'vit,веревка
lad,расстояние
laed'enware,ювелир
laedde,чувство
laest,сердце
laewedde,синий
lagi,вода
lah'h,камень
lanlice,закон
laun,ночь
le,около
leasfer,пробуждать
leaf,листва
leaf,лист
leath,ширина
leathann,широкий
leede,любовник
loanet,активизироваться
loathe,баллада
loin,сумерки
loin,темный время
lonn,тоска
luis,горный ясень
luned,дочь
lynt,воля
lunne,настроение
murvudd,враг
ma'idin,утро
mac,сын
maere,мать
maeth,госпожа
mannas,маг
mantihea'er,мантихор
marbh,мертвый
meabdh,поле
mean,заклинание
mear,палец
mearbhall,страсть
measeadh,смешивать
meht,лихорадка
meisc,опьянение
melde,нарушение
menedd,медь
mess,знак
mevall,внук
mevall,внучка
mian,желание
mibil,жар
mid,середина
mid,центр
midaete,летний
midi,среди
midinvaerne,зимний солнцестояние
milde,мягкий
milde,нежный
milde,милостливый
miliu,тысячный
mint'u,предательство
mint'u,измена
minteoir,предатель
mire,думать
mo,мой
moil,голос
moin,рукоять
moin,эфес
mor,смерть
morc,сборник
morn,удар
neen,не
n'og,ученик
n'og,юноша
n'og,юный
na,из
naedle,лето
naire,стыд
naire,позор
naoadhu,девяностый
naoi,девять
naoi deag,девятнадцать
naonar,девятеро
naou,девятый
nautis,слабость
ne'ss,ничего
nedvei,разведка
noel,новый
neiw,пусть
ner's,лекарь
ni'ateip,неудача
ni'ol,мясо
nimh,яд
nin,ясень
ohtar,восьмеро
ohtodhu,восьмидесятый
ohtu,восьмой
oide,учитель
oin,клещ
on'hierd,охотник
onn,дрок
orifann,чужой
or,золото
orre,остров
os,устье река
ot'hel,наследство
pont,мост
panne,лоб
pavien,человекообразный
peaht,кожа
peor't,начало
peort,посвящение
pin,сосна
qued,кто
quifer,пихта
reeh't,след
regn,дождь
relth,ограждать
reo,холод
res's,ствол
rites's,граница
rider,путь
rion,король
roi'mh,перед
roie,течь
rose,роза
ruad,красный
ruis,бузина
run,руно
run,тайна
run'en,алфавит
saevherne,вещать
saevherne,знающий
scoia'tael,лесной эльф-разбойник
speath,пророчество
seidhe,эльф
sidh,эльф
sledd,санки
sor'ca,сестра
squaess,спрашивать
s'insear,предок
sacerd,правитель
saevherne,ведать
sail,ива
saor,дешевый
savaed,месяц
scaer,топор
sceal,история
scedde,сорт
scian,нож
sciath,щит
se,он
se,шесть
se deag,шестнадцать
seachtain,неделя
seadh,шестьдесят
seadhu,шестидесятый
seah,семь
seah deag,семнадцать
seahadhu,семидесятый
seahadt,семьдесят
seahu,седьмой
seidhe,народ
seidhe,человек
seisear,шестеро
sell,краснолюд
sen'h,слепнуть
seol,другой
seolte,парус
seu,шестой
shed,и
sheld,длина
si,она
siad,они
siett,вы
sigell,молния
sinn,мы
skol'l,чаща
smaelann,теплый
smaele,тепло
sneachta,снег
snech,книга
soil,подчинять
sorg,гора
spar,стрела
speath,слово
speech,соглашение
speech,договор
spel,рассказ
spel,повествование
squaess,извинять
squaess,извиняться
steall,энергия магический
stemn,светлый время
sunstedde,коварство
suw'et,наполнять
tedd,погода
te,ты
tyrt,вепрь
t'auris,врата
taedh,поэт
taedh'morc,поэтический сборник
tamen,однако
teacht,приходить
teacht,появляться
teaghlach,семья
tealt,луна
tean'ch,дом
tedd,время
teip,удача
teivil,всплеск
teir,три
teir deag,тринадцать
teiradhu,тридцатый
teiredh,тридцать
teiru,третий
thaess,молчать
thar,через
thurh,таран
tief,вор
timp'eall,вокруг
tinne,остролита
tir,город
tiu'rn,доброта
triur,трое
tuat,государство
tuns't,скучный
tuve,делать
uaigh,могила
uhttid,низушко
uide,небо
um,к к врать
unriht,коричневый
ur,терновник
ur'r,сила магический
uvedh,нерв
ureen,трон
velo,л очень
vail,бук
vatt'gern,ведьмак
veis,источик
vel's,видеть
vemod,грусть
ver,всякий
ver,каждый
vial,шар
vions,восстанавливаться
vishol,ворота
vita,жизнь
vitt,живой
volt,запоминать
voerle,ждать
wae,увы
waed,юг
waelhr,смотреть
wal,счастливый
wann,радость
weall,счастие
weard'es,металл
weasel,гореть
weasel,сгорать
weder'candel,монстр
wen,костер
wen,пламя
wer,муж
wer,мужчина
wetis,лук
wett,хотеть
wisse,кисть
wisse,ладонь
xi'hias,судьба
xit'ell,вязнуть
yn,на
ys,с
ys,вдоль
yaro,год
yrnende,кинжал
yrre,злой
yrre,яростный
ziheal,слушать
zange,сталь
zedeis,липа
zefhar,ель
ziriael,ласточка
zvaere,клясться
zweerg,гном
elaine ma'idin,добрый утро
tuilleadh ro luath,еще слишком рано
tuilleadh luath,еще рано
feainne hel'caem n'aen eigean,солнце встать не скоро
breacadh cheana eigean,рассвет уже скоро
esseath luath woke,ты рано проснуться
n'aen dearme,не спаться
onas dearme,как спасться с
maith,хорошо
fath neen woke,почему не разбудить
s'erant thabhairt essea an nios eaken aineas,мы дать ты чуть большой время отдохнуть
esseath velol tuirse,ты очень уставать
esseath riachtanach aineas,ты нужно отдохнуть
evellienn vel's esseath drodh,все видеть что ты плохо
conas esseath aelaedde,как ты себя чувствовать
nios maith da caen ess,хороший чем мочь бы быть
neen velol elaine,не очень хорошо
en benn a emer,рана болеть
esseath ghnath,я в порядок
ceadmil,привет весь
hael,здравствуй
an wenn beagnach muchfar,костер почти прогореть
aith connadhen а aenye,подкинуть в огонь дрова с
aereeh't do aenye,следить за огонь
te eigean wett,ты что-нибудь хотеть
thaisme aemire noemi,случайно упороть ноэй
que te eras'wett,что ты хотеть
ghlacadh va me a earm,взять я за рука
n'aen aedwiim me tearth,не уходить я страшно
hel'ess leis me,побыть с я
es ithte,быть есть
te'ss hunger,ты голодный
n'aen aeteipe,не отказаться
aen ite reidh 'esse beagnach,еда почти готовый
voerle beag tuilleadh va,нужно подождать еще немного
va'esse deireadh aep eigean va'esse eighe faidh'ar,что-то кончаться что-то начинаться
chodladh,лагерь
leighis,медицина
tuilleadh,еще
faoi lathair,в настоящий время
noimead,мгновение
seafoid,чушь
seafoid,ерунда
seastan,стоять
meas,спасибо
